CHARACTER,WORLD,SCORE,CYL 1 VOTES,CYL 2 VOTES,CYL 3 VOTES,CYL 4 VOTES,CYL 5 VOTES,CYL 6 VOTES,CYL 7 VOTES,CYL 8 VOTES,CYL 9 VOTES
Lachesis,Jugdral,1615.53,1394.0,1368.0,1270.0,774.0,485.0,477.0,342.0,295.0,264.0
Mae,Valentia,1615.43,131.0,1534.0,1132.0,555.0,417.0,503.0,399.0,472.0,455.0
Camus,Archanea,1613.6,1829.0,2209.0,2406.0,1061.0,421.0,493.0,302.0,270.0,202.0
Surtr,Heroes,1613.57,,3769.0,6325.0,1481.0,473.0,374.0,179.0,182.0,121.0
Kris (M),Archanea,1613.3,736.0,1260.0,2063.0,1662.0,499.0,498.0,278.0,277.0,348.0
Setsuna,Fates,1613.14,3292.0,1366.0,1178.0,497.0,337.0,398.0,288.0,370.0,273.0
Mirabilis,Heroes,1612.61,,,,,619.0,391.0,243.0,354.0,203.0
Mozu,Fates,1612.45,1990.0,1226.0,1351.0,694.0,642.0,699.0,545.0,489.0,75.0
Shura,Fates,1612.16,1281.0,688.0,874.0,533.0,444.0,489.0,410.0,389.0,341.0
Flame Emperor,Fodlan,1610.29,,,,759.0,622.0,,,,
Matthew,Elibe,1610.28,3565.0,912.0,914.0,530.0,376.0,421.0,287.0,307.0,493.0
Velouria,Fates,1610.27,3339.0,4553.0,4773.0,706.0,420.0,292.0,177.0,156.0,165.0
Raphael,Fodlan,1609.11,,,,1115.0,483.0,505.0,266.0,210.0,164.0
Anankos,Fates,1607.69,1293.0,1325.0,1900.0,781.0,545.0,717.0,542.0,197.0,136.0
Keaton,Fates,1607.36,3724.0,5989.0,4100.0,778.0,360.0,453.0,228.0,226.0,178.0
Sain,Elibe,1606.9,2031.0,1555.0,1280.0,1091.0,816.0,995.0,143.0,134.0,89.0
Xane,Archanea,1606.69,1032.0,1291.0,1712.0,1489.0,298.0,399.0,230.0,225.0,404.0
Cyril,Fodlan,1606.4,,,,673.0,551.0,807.0,1150.0,180.0,100.0
Merric,Archanea,1606.18,2493.0,816.0,1159.0,702.0,319.0,372.0,345.0,324.0,176.0
Madeline,Elyos,1605.57,,,,,,,,201.0,237.0
Éve (Eve),Elyos,1605.52,,,,,,,,257.0,206.0
Morgan (M),Ylisse,1603.49,2216.0,2533.0,896.0,462.0,271.0,265.0,200.0,177.0,354.0
Lukas,Valentia,1603.12,146.0,2414.0,1623.0,732.0,500.0,530.0,335.0,230.0,213.0
Sumia,Ylisse,1602.47,2982.0,4593.0,878.0,351.0,187.0,264.0,242.0,352.0,441.0
Wolt,Elibe,1601.79,969.0,654.0,844.0,600.0,496.0,461.0,330.0,364.0,416.0
Lloyd (FE07),Elibe,1600.85,1617.0,768.0,826.0,567.0,484.0,520.0,405.0,558.0,230.0
Forrest,Fates,1600.73,2356.0,2194.0,2566.0,1292.0,235.0,330.0,204.0,130.0,149.0
Eitri,Heroes,1599.36,,,,,,1092.0,335.0,187.0,175.0
Abysskeeper,Fodlan,1598.94,,,,,753.0,1374.0,292.0,199.0,100.0
Jakob,Fates,1596.33,4681.0,1082.0,1189.0,595.0,429.0,327.0,204.0,238.0,251.0
Hana,Fates,1595.7,3394.0,1413.0,1345.0,646.0,462.0,355.0,270.0,280.0,257.0
Lethe,Tellius,1595.61,2616.0,4186.0,4283.0,584.0,337.0,290.0,207.0,210.0,200.0
Sombron,Elyos,1594.46,,,,,,,,247.0,194.0
Volke,Tellius,1592.4,1632.0,1554.0,1677.0,1079.0,978.0,289.0,146.0,167.0,118.0
Elm,Heroes,1591.81,,,,,,484.0,326.0,151.0,220.0
Lucius,Elibe,1590.86,2204.0,1502.0,1047.0,719.0,481.0,495.0,344.0,326.0,292.0
Greil,Tellius,1590.14,762.0,1550.0,2258.0,674.0,401.0,401.0,183.0,213.0,162.0
Naesala,Tellius,1589.33,1656.0,2075.0,1047.0,581.0,421.0,393.0,238.0,246.0,193.0
Ayaha/Aversa,TMS #FE,1588.05,,,,922.0,427.0,541.0,294.0,243.0,180.0
